customerkey,macro_segment,persona_label,micro_segment_id,clv_simple,churn_risk_heuristic,rfm_sum,total_revenue,age,annual_income_usd,education_level,market,gender
11031,At-risk,Budget_Conscious_Families,At-risk_Budget_Conscious_Families_High School_US_F,10369.555614,0.512486187845304,14,2839.0296000000003,27,94116,High School,US,F
11078,Potential,Young_Digital_Enthusiasts,Potential_Young_Digital_Enthusiasts_Bachelor_AU_F,1054.6510624137932,0.2732596685082873,13,418.6842,53,64936,Bachelor,AU,F
11086,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_High School_US_F,476.1263152631578,0.3865193370165746,13,185.7577,34,94164,High School,US,F
11091,Potential,Budget_Conscious_Families,Potential_Budget_Conscious_Families_High School_US_M,2153.7651730813955,0.1665193370165745,14,845.1919,57,109170,High School,US,M
11099,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_High School_US_M,1076916.249,0.9766850828729282,7,2457.03,49,43978,High School,US,M
11102,At-risk,Price_Sensitive_Shoppers,At-risk_Price_Sensitive_Shoppers_Bachelor_US_F,455.9226827586208,0.4062983425414365,13,150.82999999999998,18,34673,Bachelor,US,F
11116,Lost,Budget_Conscious_Families,Lost_Budget_Conscious_Families_High School_US_M,596.8723263157896,0.605303867403315,11,129.37,25,125900,High School,US,M
11118,At-risk,Young_Digital_Enthusiasts,At-risk_Young_Digital_Enthusiasts_High School_AU_M,706.6689344262295,0.5224309392265194,12,196.7,50,73170,High School,AU,M
11122,Lost,Senior_Traditionalists,Lost_Senior_Traditionalists_High School_US_F,601.2444705882352,0.7843093922651934,9,69.96,40,86051,High School,US,F
11125,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Some College_US_M,28287.882,0.9700552486187846,4,64.53999999999999,25,106456,Some College,US,M
11142,Potential,Middle_Age_Mainstream,Potential_Middle_Age_Mainstream_Bachelor_US_M,2229.222077419355,0.2430939226519337,14,788.34,30,40934,Bachelor,US,M
11150,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_High School_AU_M,7577.50572,0.9302762430939228,3,17.2884,18,103862,High School,AU,M
11174,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Master_CA_M,2268.9330000000004,0.8771270718232045,8,62.120000000000005,39,87604,Master,CA,M
11181,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Some College_US_M,5246.451000000001,0.94353591160221,3,11.97,68,126030,Some College,US,M
11185,Potential,Price_Sensitive_Shoppers,Potential_Price_Sensitive_Shoppers_Some College_US_F,3474.5416545283024,0.0530386740331491,14,1260.4429,49,125420,Some College,US,F
11201,Lost,Social_Media_Influencers,Lost_Social_Media_Influencers_High School_US_M,1293.5662239130438,0.7279558011049724,10,203.6415,68,76800,High School,US,M
11203,Potential,Social_Media_Influencers,Potential_Social_Media_Influencers_High School_US_F,1332.2748679591834,0.2796685082872928,13,446.8273,50,100936,High School,US,F
11211,Potential,Middle_Age_Mainstream,Potential_Middle_Age_Mainstream_High School_US_M,1868.450985,0.272817679558011,13,647.9684,52,76139,High School,US,M
11215,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_Some College_US_F,1237.1715038414636,0.3064088397790055,13,462.9161,65,79663,Some College,US,F
11223,Potential,Middle_Age_Mainstream,Potential_Middle_Age_Mainstream_Master_US_F,2704.1317963291144,0.156353591160221,14,974.7954,43,35069,Master,US,F
11230,At-risk,Young_Digital_Enthusiasts,At-risk_Young_Digital_Enthusiasts_Bachelor_US_M,219.96614482758625,0.4262983425414365,12,72.77000000000001,36,66722,Bachelor,US,M
11235,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Master_US_F,34460.98686,0.9667403314917128,4,78.6242,52,15000,Master,US,F
11248,Lost,Affluent_Professionals,Lost_Affluent_Professionals_High School_US_M,32897.13246,0.9335911602209944,4,75.0562,58,69768,High School,US,M
11253,At-risk,Budget_Conscious_Families,At-risk_Budget_Conscious_Families_Some College_US_F,1155.02459625,0.3061878453038674,13,400.5561,32,120781,Some College,US,F
11258,Lost,Affluent_Professionals,Lost_Affluent_Professionals_High School_US_M,15340.5,0.9302762430939228,3,35.0,29,101807,High School,US,M
11262,Potential,Price_Sensitive_Shoppers,Potential_Price_Sensitive_Shoppers_Bachelor_CA_F,2352.1012561077846,0.1430939226519337,14,896.1919,42,71767,Bachelor,CA,F
11277,Potential,Young_Digital_Enthusiasts,Potential_Young_Digital_Enthusiasts_Doctorate_US_F,2933.075623404255,0.2593370165745856,13,943.563,50,67508,Doctorate,US,F
11280,Lost,Affluent_Professionals,Lost_Affluent_Professionals_Master_US_F,891.2484473684212,0.8307182320441989,8,77.27000000000001,49,55668,Master,US,F
11287,Potential,Price_Sensitive_Shoppers,Potential_Price_Sensitive_Shoppers_High School_US_M,2297.5772467346937,0.2495027624309392,14,770.5769,19,42432,High School,US,M
11300,Potential,Social_Media_Influencers,Potential_Social_Media_Influencers_Some College_US_M,3321.1473250909094,0.0931491712707182,14,1250.2608,64,103233,Some College,US,M
11306,Lost,Middle_Age_Mainstream,Lost_Middle_Age_Mainstream_High School_US_M,304.68295588235287,0.734585635359116,8,47.27,30,20853,High School,US,M
11309,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_High School_US_M,19714.734,0.9501657458563536,3,44.98,35,20049,High School,US,M
11330,Potential,Price_Sensitive_Shoppers,Potential_Price_Sensitive_Shoppers_High School_US_M,2374.382989006211,0.1497237569060773,14,872.1781,26,106232,High School,US,M
11331,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_Some College_AU_M,1887.5444287499995,0.3061878453038674,13,654.5899,73,81651,Some College,AU,M
11333,Potential,Quality_Focused_Buyers,Potential_Quality_Focused_Buyers_Some College_AU_F,1059684.1338600002,0.9335911602209944,7,2417.7142000000003,41,76434,Some College,AU,F
11342,Lost,Tech_Savvy_Early_Adopters,Lost_Tech_Savvy_Early_Adopters_Some College_CA_F,27001.120860000003,0.940220994475138,4,61.6042,30,74611,Some College,CA,F
11367,At-risk,Budget_Conscious_Families,At-risk_Budget_Conscious_Families_Some College_US_F,377.58699707142864,0.472707182320442,12,120.6073,50,144932,Some College,US,F
11369,At-risk,Social_Media_Influencers,At-risk_Social_Media_Influencers_Bachelor_US_F,378.6652546551724,0.3666298342541437,13,150.32569999999998,49,76541,Bachelor,US,F
11370,Lost,Price_Sensitive_Shoppers,Lost_Price_Sensitive_Shoppers_High School_US_M,599.3463998734177,0.6550276243093923,10,108.0273,36,84845,High School,US,M
