productkey,productsubcategorykey,productsku,productname,modelname,productdescription,productcolor,productsize,productstyle,productcost,productprice,total_revenue,total_units,total_profit,unique_customers,first_sale,last_sale,sales_days,profit_margin,avg_order_value,days_active,sales_velocity,product_cluster,product_segment
218,23,SO-B909-M,"Mountain Bike Socks, M",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,M,U,3.3963,9.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
219,23,SO-B909-L,"Mountain Bike Socks, L",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,White,L,U,3.3963,9.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
238,14,FR-R92R-62,"HL Road Frame - Red, 62",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,62,U,747.9682,1263.4598,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
241,14,FR-R92R-44,"HL Road Frame - Red, 44",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,44,U,747.9682,1263.4598,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
244,14,FR-R92R-48,"HL Road Frame - Red, 48",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,48,U,747.9682,1263.4598,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
247,14,FR-R92R-52,"HL Road Frame - Red, 52",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,52,U,747.9682,1263.4598,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
250,14,FR-R92R-56,"HL Road Frame - Red, 56",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Red,56,U,747.9682,1263.4598,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
253,14,FR-R38B-58,"LL Road Frame - Black, 58",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,58,U,176.1997,297.6346,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
256,14,FR-R38B-60,"LL Road Frame - Black, 60",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,60,U,176.1997,297.6346,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
259,14,FR-R38B-62,"LL Road Frame - Black, 62",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Black,62,U,176.1997,297.6346,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0,High_Performance_Bestsellers
